Student ID,average_score,assessments_completed,performance_trend,risk_score,progress_in_semester,max_consecutive_misses
17f0fdbd8f4528ee,82.05,7,-21.64,45.85,0.7,0
19570510d7698453,93.62,7,-5.37,60.73,0.7,0
19ed34ccf92098e2,90.11,7,-13.55,22.07,0.7,0
1a59bfcb528707c2,94.28,7,-9.05,20.51,0.7,0
1b8ee1200a71c3a8,87.49,7,-9.65,72.83,0.7,0
1ba3bd6357616437,45.59,7,-22.19,85.28,0.7,0
1bd061f6152f1a87,92.35,7,1.19,48.44,0.7,0
1cb4cd931b0add66,97.77,7,-5.2,31.52,0.7,0
1d29fd2b66a0f323,85.48,7,7.37,73.38,0.7,0
1db3993db3d3cf7b,91.39,7,-14.75,30.94,0.7,0
1e8e933bdd2329a1,17.96,2,-74.29,97.0,0.7,4
1f1a30def6d033d3,27.71,2,-6.0,92.28,0.7,3
2059ab82b726cbd7,73.98,7,-3.78,65.89,0.7,0
20a0f3637fe0237b,77.41,7,-13.95,54.56,0.7,0
219d9d63d9ed2823,57.82,6,-23.81,85.95,0.7,1
236163e7cd452470,100.0,7,0.0,32.11,0.7,0
241b466ba2e16455,90.41,7,-8.75,42.45,0.7,0
242babc45a773463,84.49,6,2.86,36.67,0.7,1
24db1def7f93544d,37.37,5,-27.42,86.75,0.7,1
25b6c6a4d5f5a8c6,85.7,7,-16.42,67.16,0.7,0
2a2a5348612d8f8f,0.0,0,0.0,43.16,0.7,7
2ca12e6956c31f96,87.7,7,-2.13,57.44,0.7,0
2cf445098167b9a1,84.57,7,4.94,37.64,0.7,0
2cfab9595c0652f2,92.46,7,-0.81,47.07,0.7,0
2d08e5ad0f4b76cd,74.94,7,-26.09,82.55,0.7,0
2e98bdade7580851,77.89,7,19.59,58.15,0.7,0
2f5a9fbcd5bfe934,96.77,7,-0.79,36.13,0.7,0
3098814cf1a27792,84.15,7,-17.99,50.54,0.7,0
30fb93867233941d,82.47,7,-14.39,49.57,0.7,0
316143cb4d2ceacd,77.23,7,-21.29,26.26,0.7,0
31d0ad197d05b40f,94.29,7,-13.33,35.44,0.7,0
3406b058d04be10d,55.53,6,-29.65,74.01,0.7,1
34dd5146abb3fcb2,84.86,6,-2.0,44.03,0.7,1
35429b220d5bd080,43.37,4,-48.2,96.96,0.7,2
37a7812a134a70ee,100.0,7,0.0,36.89,0.7,0
38550e9b9dad2045,100.0,7,0.0,36.7,0.7,0
3977c3ce5009266a,85.71,6,0.0,78.2,0.7,1
398194dba8532794,100.0,7,0.0,15.14,0.7,0
39e9033521b98f86,98.57,7,0.0,6.81,0.7,0
3dc34f7b14d70125,14.29,1,0.0,92.0,0.7,5
3e8535d6f9ee2320,78.94,7,-21.8,87.35,0.7,0
4093789373f04294,65.04,6,-9.7,65.94,0.7,1
40a8c5b8b579fa2a,58.02,6,-30.81,56.86,0.7,1
4225da6578de5e07,78.94,7,12.48,57.89,0.7,0
4410db940ccd81ab,65.24,5,-16.67,77.71,0.7,1
441a1ae7faa11e1f,63.44,5,-2.06,37.21,0.7,1
4460e4307636ead0,46.3,6,-34.18,80.8,0.7,1
44cde94d48618755,90.36,7,-16.5,30.15,0.7,0
458a78dedea92576,94.82,7,-12.08,20.54,0.7,0
47654ca5efe2bb65,78.76,6,-6.7,60.35,0.7,1
49a223d76a72768b,95.71,7,-6.67,56.76,0.7,0
49dc54275e10b7b6,65.56,7,-37.88,65.8,0.7,0
4ade4bf22f388fcf,88.89,7,-5.74,71.44,0.7,0
4ca30d919cb53979,100.0,7,0.0,31.36,0.7,0
4d67d404059868e0,79.8,7,1.5,45.55,0.7,0
4da9548efb98cda6,94.64,7,-12.5,52.32,0.7,0
4eb30e37e96fd0c3,54.83,5,-36.67,80.33,0.7,1
4ebbbdaa9f0063eb,28.57,2,0.0,98.0,0.7,4
4f4f227427df192e,72.44,7,-23.06,60.94,0.7,0
502c9e70eb73e41b,86.32,7,-8.4,46.85,0.7,0
50360aa68273b55f,55.99,5,-34.75,90.56,0.7,2
5045e741da064060,93.66,7,-1.33,65.52,0.7,0
5071cd1a8d3c59c0,31.2,4,-64.99,73.32,0.7,3
50bb0394596e9d66,75.3,7,-19.17,54.66,0.7,0
5122c7b62309445b,72.24,6,31.43,65.9,0.7,1
514faa15a6a7ba1e,75.65,7,-18.73,81.28,0.7,0
51e6ac3a761aa696,61.11,7,-17.91,35.52,0.7,0
51fe1bc56da6fa45,100.0,7,0.0,2.88,0.7,0
5251f33e485e0c1e,63.66,7,-9.98,81.59,0.7,0
54de952cd7ab6a9a,84.92,7,-22.81,76.71,0.7,0
58585b15ef3e4b50,82.71,7,-17.96,41.94,0.7,0
585d6641ddf5c7b0,88.01,7,11.3,22.8,0.7,0
5cb32a082f93aa8c,57.15,5,-25.25,58.12,0.7,2
5cbca9d2121ee7ea,81.42,7,-17.13,49.04,0.7,0
5cced2b4f5fbcf18,100.0,7,0.0,30.7,0.7,0
5e2b2e1fd8d8727b,89.35,7,4.19,53.07,0.7,0
629c8a0ee529bccd,93.79,7,0.83,58.51,0.7,0
63580a3d7de5c922,100.0,7,0.0,24.29,0.7,0
6393ab358f6b93c6,21.57,3,5.0,32.2,0.7,2
63aa401df8fa1be7,84.08,7,-17.29,65.4,0.7,0
63ed1dd0fb5274cc,87.06,7,0.8,79.45,0.7,0
63f767c6262e2bb3,79.65,6,-12.25,64.62,0.7,1
6604127cdf45d34d,61.53,7,-27.79,62.05,0.7,0
6623050a1401743d,99.39,7,1.43,72.87,0.7,0
66c6bc784863c96c,33.55,6,-7.4,90.16,0.7,1
68e38dd6656347d4,89.49,7,1.19,74.29,0.7,0
69a9354fdaa74348,25.85,3,-85.71,92.67,0.7,4
6a6fe1247e65502d,100.0,7,0.0,13.19,0.7,0
6a7ce2173c7cfa7c,78.42,7,-24.64,78.54,0.7,0
6af01b4437c27f07,69.56,7,-40.87,69.31,0.7,0
6c11b966b4452fdf,100.0,7,0.0,17.37,0.7,0
6c24c4ac3518c50b,67.07,7,-3.96,75.41,0.7,0
6df6441e9268e3f5,99.21,7,-1.83,42.88,0.7,0
6e993f22bcfa4357,34.8,5,-41.79,86.09,0.7,1
6ea11cf706affc63,98.4,7,-3.73,42.15,0.7,0
6fc796b5381f3f2a,75.76,7,-30.85,58.95,0.7,0
70034ade57f42ce5,79.24,6,-10.34,65.33,0.7,1
71ffd73b9a388889,79.12,7,-0.75,75.52,0.7,0
720d2dbc3b68959f,100.0,7,0.0,18.05,0.7,0
743bcbf815851704,81.48,7,-3.96,49.4,0.7,0
7496ea52c546aaba,80.05,7,-44.56,75.61,0.7,0
76ea16313027ddb1,94.95,7,3.45,38.86,0.7,0
7927811695a5acb8,89.82,7,-10.24,44.27,0.7,0
7c650a11f1613ece,67.66,7,-32.17,76.36,0.7,0
7ea4926ba897131b,100.0,7,0.0,26.53,0.7,0
7f4ea6d0f6ddd765,53.02,6,-36.52,86.69,0.7,1
8030b881042f47e4,91.54,7,-19.75,11.26,0.7,0
80e4f5f7ab45ddb4,100.0,7,0.0,70.23,0.7,0
813969ec5e3699bc,97.51,7,3.81,39.84,0.7,0
824b281e54692092,90.35,7,4.52,74.05,0.7,0
83453bb3ad311445,81.08,7,15.0,74.94,0.7,0
83fa4b53f222042b,94.14,7,-8.33,47.58,0.7,0
859d9322e00a2a99,77.36,7,-26.22,49.65,0.7,0
8661563ecfe0171e,55.97,6,-5.58,60.91,0.7,1
86ff0d04109c1aed,88.3,7,-18.79,27.38,0.7,0
8818ca423e95af32,93.96,7,-1.87,33.03,0.7,0
89012b465cb5e401,84.97,7,-20.11,67.41,0.7,0
8a95cb59aa57a504,69.85,7,-17.52,79.62,0.7,0
8bc6a84d741ed4d1,93.1,7,-1.9,32.27,0.7,0
8c04d5eee087436b,64.74,5,-11.82,80.77,0.7,1
8ccd8af2ce15e414,0.0,0,0.0,100.0,0.7,7
8fe2b805b37c2e36,50.18,6,-61.0,71.72,0.7,1
901d501e5e3fc4fb,60.71,7,-26.33,90.96,0.7,0
90402370f27462da,58.62,5,-35.2,69.42,0.7,2
9053681666d81bc7,30.2,3,-88.57,72.21,0.7,4
91c02818c8b3ed84,62.13,6,-35.99,91.6,0.7,1
922ed0a8d1695836,99.54,7,-1.07,52.87,0.7,0
9264dc756e04aaea,96.01,7,-1.69,58.59,0.7,0
92bb05bbd8f45d77,94.96,7,-5.5,71.72,0.7,0
9313dc6cbfb3a7bd,100.0,7,0.0,24.01,0.7,0
937b29be9e061839,73.16,7,-19.54,70.44,0.7,0
9423383276d16969,84.24,7,-12.77,70.81,0.7,0
947c9e15e8592c95,74.23,7,-10.23,37.05,0.7,0
967065e19d1869f4,18.57,2,-30.0,96.92,0.7,5
97a454b0a65223e1,62.43,7,-24.54,78.73,0.7,0
98bdc9179cae4c91,36.96,4,-20.66,97.41,0.7,3
99af1df4fef36822,97.96,7,4.76,44.93,0.7,0
9a2f08686079a542,71.73,6,-10.71,86.73,0.7,1
9a393aedd6599712,94.93,7,-11.83,29.63,0.7,0
9a50acd7bbefa0e2,67.53,6,-15.21,62.8,0.7,1
9aa1f26acdc8e24e,92.08,7,0.69,46.22,0.7,0
9c73860d96d0b71e,72.57,7,-30.4,73.98,0.7,0
9e446a42ce23cad5,90.84,7,-0.62,80.3,0.7,0
9f3f05c8ebaa74dd,50.2,4,-24.29,85.73,0.7,3
a08853b1a7f7a812,96.43,7,-8.33,72.7,0.7,0
a0930c15e4b617c4,96.57,7,3.33,65.61,0.7,0
a2271297461e59b6,84.25,7,0.64,60.92,0.7,0
a261a3b1d85776c7,90.89,7,-15.93,64.53,0.7,0
a44ed29efbc63e8d,90.2,7,9.52,41.39,0.7,0
a82f24a9bb148a02,98.93,7,-2.5,34.37,0.7,0
a8d1ead55fe7e895,94.39,7,-3.57,35.25,0.7,0
a92bc68681abd10d,96.0,7,-2.67,20.69,0.7,0
aa39f27bc7294c45,92.97,7,9.23,40.54,0.7,0
aa74374e6a83a61c,69.09,7,11.69,60.69,0.7,0
aa943692e7e39d38,96.51,7,-4.8,57.11,0.7,0
ab82718c4f2388a3,83.57,7,-5.9,63.31,0.7,0
ac7e3295568547b9,93.53,7,-1.57,61.58,0.7,0
ad9302387da8e1e7,86.6,7,-15.66,46.98,0.7,0
ada6b8ffb07b2bbe,91.62,7,-11.22,47.25,0.7,0
af5dfea8e1664d60,68.43,6,-15.5,88.5,0.7,1
afbbe3598d6b0cd2,80.36,6,-12.5,49.3,0.7,1
b0a87e2290ac1093,100.0,7,0.0,16.91,0.7,0
b0c3633b4cd37dce,88.91,7,-12.26,26.4,0.7,0
b3685a33c7930ff3,81.53,7,4.83,71.61,0.7,0
b3f0b089124b7bf8,93.71,7,14.67,54.25,0.7,0
b3feaa67bcf84bca,89.43,7,-7.51,44.75,0.7,0
b408376ca317a661,91.88,7,-15.06,22.09,0.7,0
b58334de7d3f9b6f,72.94,6,-7.89,78.35,0.7,1
b59de64026e78d65,87.89,7,7.33,32.39,0.7,0
b7a7057e6ff1537d,74.04,7,-18.45,60.68,0.7,0
b819ec1721ecbd86,76.24,7,-8.03,45.02,0.7,0
b8c5a3445f49e865,53.05,6,-41.3,86.32,0.7,1
b8e3969c631c34eb,100.0,7,0.0,58.22,0.7,0
b9340db2edd288bd,96.53,7,8.1,29.97,0.7,0
b943fd3b62385c00,98.86,7,-2.67,20.13,0.7,0
ba32c72380e77f0a,64.93,7,-1.5,71.04,0.7,0
ba351b065c3bc1c0,95.96,7,-9.42,31.5,0.7,0
ba63b82ac8c4f82a,89.4,7,-0.23,41.03,0.7,0
bb15598713a5eaaa,57.19,7,-29.7,90.6,0.7,0
bb9d2fc37c832ecc,87.39,7,-2.37,86.63,0.7,0
bc5c91161a3ccce4,49.82,4,9.39,55.7,0.7,3
be2b5869efe5ea85,82.29,7,-23.33,35.83,0.7,0
bea9e4a7c7e51cbb,70.3,7,-14.79,84.25,0.7,0
bf2515efe4155ee8,56.83,7,-50.39,67.02,0.7,0
bf9d36367bbd52c7,87.14,7,-15.89,63.08,0.7,0
bff99d87e12777c3,62.18,7,-30.43,74.93,0.7,0
c002f21b4400bd54,92.66,7,-10.55,56.89,0.7,0
c0ac8ed6c44aa124,91.54,7,-19.75,40.9,0.7,0
c0dff3c4ed966264,100.0,7,0.0,25.1,0.7,0
c13e0c8da4f015b8,84.9,7,-21.43,42.51,0.7,0
c209c281569c4991,88.18,7,-10.54,39.89,0.7,0
c2d2a9ee10f5ab5e,100.0,7,0.0,20.08,0.7,0
c3255b5268f303a8,97.14,7,-6.67,34.14,0.7,0
c3f2d1ae28d86110,95.23,7,2.86,38.9,0.7,0
c4cfb7cb51d933e2,14.29,1,0.0,99.0,0.7,6
c4f3cb58898353c4,84.75,7,-11.48,47.71,0.7,0
c50ecfe4bffb3b45,78.83,6,-0.64,58.04,0.7,1
c59c83b98c8d1393,52.65,4,-15.71,96.31,0.7,3
c617d8e8f964097f,55.06,7,-1.62,75.99,0.7,0
c709540bfdd23ccb,97.66,7,-5.45,16.93,0.7,0
c73ea68f93e3d6c6,59.15,6,-11.52,54.58,0.7,1
c9307ba3ac508d83,79.58,7,-2.12,47.41,0.7,0
cc365dc1a7e96598,93.61,7,-14.92,55.96,0.7,0
cc51d8fdba9e5969,98.24,7,1.61,24.03,0.7,0
cc5d785aed0fb383,100.0,7,0.0,27.6,0.7,0
cd762441eefc5429,94.41,7,-11.13,64.79,0.7,0
ce11e43e5a10f59b,95.51,7,-9.67,35.63,0.7,0
ce792dc6457dde46,68.4,6,-31.82,74.73,0.7,1
cf7c9846776df3b0,100.0,7,0.0,40.49,0.7,0
cf8a0e1eb8447d93,91.02,7,-6.9,56.41,0.7,0
cfac0f94bf4561b8,83.84,7,-18.97,43.44,0.7,0
cfc762f23b15d996,93.64,7,-10.17,40.92,0.7,0
d08e027c14e7f34c,100.0,7,0.0,26.17,0.7,0
d19057b35da9abcc,100.0,7,0.0,31.63,0.7,0
d4f5f94334620017,94.11,7,-13.73,47.44,0.7,0
d76ce745ab71d65e,96.5,7,-8.17,40.22,0.7,0
d8a3e829bf42656b,77.58,6,-1.83,65.25,0.7,1
d99385c8499b57d1,88.16,7,-17.37,73.26,0.7,0
db4831572cb3c0e1,95.7,7,-8.13,29.81,0.7,0
dcb569969b089084,83.67,6,4.76,79.35,0.7,1
df0b3a7e2e130332,89.1,7,-15.14,38.94,0.7,0
e08892e03a1bd55d,52.92,7,-34.98,84.41,0.7,0
e1320caed4634e9c,96.52,7,-8.12,20.42,0.7,0
e2405b34d133887d,67.97,7,-19.47,53.47,0.7,0
e2f3b15a268696ab,84.59,7,5.95,58.43,0.7,0
e3d7f2ca6f9e28b0,97.43,7,0.0,45.0,0.7,0
e42b4ebf33157b9b,74.98,7,-34.33,82.49,0.7,0
e5fc60727e25e8cf,63.41,7,-40.8,46.04,0.7,0
e619a70da793cbb7,77.79,7,-30.3,73.19,0.7,0
e6c3bbd110803f2d,97.48,7,-3.96,30.94,0.7,0
e709196c6848f114,94.14,7,-11.67,46.36,0.7,0
e7ade80085edb8b7,82.14,6,-8.33,42.89,0.7,1
e7bce0b432d16eee,36.6,5,-16.13,81.46,0.7,2
e8bd319841715ca9,84.83,7,-24.07,38.01,0.7,0
e8c6a7f33f839bf9,100.0,7,0.0,43.95,0.7,0
e9a2b67e3ea17a2b,49.09,6,-21.91,90.54,0.7,1
ea17aa3ef62dfe73,91.01,7,-10.89,42.03,0.7,0
ecea4c3ea33d6166,35.68,5,-27.67,91.09,0.7,1
ecf1039dd6b9f909,75.14,7,-5.5,65.02,0.7,0
eebe3b0c630df307,81.76,7,-3.61,37.89,0.7,0
ef191b5c70417814,74.41,7,-33.87,67.73,0.7,0
ef784f877597851a,64.29,5,-25.0,85.26,0.7,1
f0a90490dd60a0aa,89.12,7,6.75,58.12,0.7,0
f1244d470886f079,94.9,7,7.24,64.8,0.7,0
f2a4e87a90f803dd,89.93,7,-5.6,65.95,0.7,0
f317b1f7624b57e4,27.41,3,-91.43,93.88,0.7,4
f4ae2feb4744e960,93.52,7,-8.27,51.26,0.7,0
f4fc7af5b70c3960,81.95,7,17.64,29.42,0.7,0
f51d354fd6dedf8b,96.74,7,-4.27,21.08,0.7,0
f64ffc473624e3de,54.52,4,9.17,47.92,0.7,3
f6b7103b2e6c5090,88.34,7,-24.34,62.61,0.7,0
f70bdb7b8f289f67,80.82,6,-1.9,37.82,0.7,1
f74aced4328bef3f,100.0,7,0.0,21.81,0.7,0
f81f10323111985a,92.96,7,-7.57,72.99,0.7,0
f960d71334635e3c,98.0,7,0.0,32.08,0.7,0
fa3ad134a6f9eaee,93.84,7,-7.72,32.27,0.7,0
fa84903d6b0c8f6c,100.0,7,0.0,14.78,0.7,0
fac755e6540758ec,100.0,7,0.0,23.78,0.7,0
fbe2b4c887fab339,96.36,7,-8.5,34.54,0.7,0
fd5cecae2716499f,94.54,7,-2.93,41.19,0.7,0
fd9bf8b196ea8d9b,85.5,7,-21.03,53.13,0.7,0
fe3c150b3d42de85,0.0,0,0.0,100.0,0.7,7
fe5e0202d27767ef,22.32,2,-26.93,96.68,0.7,5
ff7759cca31c6f65,0.0,0,0.0,92.3,0.7,7
01afd650ca049dc1,71.85,7,-13.23,70.64,0.8,1
02408595037ab3b6,65.32,7,-24.01,49.29,0.8,1
02674da7be72b3d9,74.0,8,-32.85,59.83,0.8,0
04afeb9be5786a77,90.51,8,2.31,45.6,0.8,0
06299feab50780d3,43.62,6,-60.73,55.08,0.8,1
09dcd5a8514f9bc2,66.71,7,-26.53,78.23,0.8,1
0aa53e746805b00e,35.75,5,-82.7,68.24,0.8,2
0b2c18a3f34dbcff,72.78,8,-19.81,39.47,0.8,0
0e29464e43853ece,95.88,8,-8.25,30.98,0.8,0
0e4fbc1d1aa6dd01,98.02,8,-2.54,47.44,0.8,0
0f09efb6fa86ce5e,98.9,8,-2.2,29.25,0.8,0
0f19997e4f8cc30d,80.65,8,0.44,40.04,0.8,0
0f2b5f1007700f65,62.13,8,-45.01,63.05,0.8,0
104287a63371554d,78.89,8,-8.59,67.87,0.8,0
140639a5a59807d6,22.92,4,-8.33,59.7,0.8,3
16201bc3218b8118,62.08,7,-49.8,58.27,0.8,1
162c45c12836f510,83.99,8,11.48,46.53,0.8,0
176f06e60542e2c5,53.55,5,-21.5,83.61,0.8,2
179a345ab1e810e1,64.13,8,-45.46,64.08,0.8,0
17ed47bac5ac3f2e,25.25,6,-33.65,87.55,0.8,2
17f0fdbd8f4528ee,76.8,8,-31.23,45.85,0.8,0
19570510d7698453,91.0,8,-10.86,60.73,0.8,0
19ed34ccf92098e2,87.08,8,-18.7,22.07,0.8,0
1a59bfcb528707c2,93.99,8,-6.99,20.51,0.8,0
1b8ee1200a71c3a8,84.37,8,-9.12,72.83,0.8,0
1ba3bd6357616437,39.89,7,-22.19,85.28,0.8,1
1bd061f6152f1a87,90.18,8,-5.36,48.44,0.8,0
1cb4cd931b0add66,94.11,8,-11.78,31.52,0.8,0
1d29fd2b66a0f323,80.36,8,-3.85,73.38,0.8,0
1db3993db3d3cf7b,92.47,8,-7.06,30.94,0.8,0
1e8e933bdd2329a1,16.34,3,-95.0,97.0,0.8,4
1f1a30def6d033d3,25.29,3,-91.67,92.28,0.8,3
2059ab82b726cbd7,70.23,8,-6.63,65.89,0.8,0
20a0f3637fe0237b,72.38,8,-13.17,54.56,0.8,0
219d9d63d9ed2823,56.85,7,-33.81,85.95,0.8,1
236163e7cd452470,100.0,8,0.0,32.11,0.8,0
241b466ba2e16455,84.32,8,-16.64,42.45,0.8,0
242babc45a773463,83.16,7,-5.87,36.67,0.8,1
24db1def7f93544d,40.7,6,-4.09,86.75,0.8,1
25b6c6a4d5f5a8c6,84.25,8,-11.78,67.16,0.8,0
2a2a5348612d8f8f,0.0,0,0.0,43.16,0.8,8
2ca12e6956c31f96,76.74,7,-2.13,57.44,0.8,1
2cf445098167b9a1,84.5,8,-0.29,37.64,0.8,0
2cfab9595c0652f2,87.7,8,-8.72,47.07,0.8,0
2d08e5ad0f4b76cd,72.61,8,-20.49,82.55,0.8,0
2e98bdade7580851,74.26,8,11.0,58.15,0.8,0
2f5a9fbcd5bfe934,84.67,7,-0.79,36.13,0.8,1
3098814cf1a27792,81.17,8,-19.31,50.54,0.8,0
30fb93867233941d,78.45,8,-17.61,49.57,0.8,0
316143cb4d2ceacd,73.66,8,-19.2,26.26,0.8,0
31d0ad197d05b40f,94.79,8,-10.42,35.44,0.8,0
3406b058d04be10d,56.75,7,-21.2,74.01,0.8,1
34dd5146abb3fcb2,84.12,7,-7.0,44.03,0.8,1
35429b220d5bd080,37.95,4,-48.2,96.96,0.8,3
37a7812a134a70ee,100.0,8,0.0,36.89,0.8,0
38550e9b9dad2045,100.0,8,0.0,36.7,0.8,0
3977c3ce5009266a,81.25,7,-16.67,78.2,0.8,1
398194dba8532794,100.0,8,0.0,15.14,0.8,0
39e9033521b98f86,98.75,8,2.5,6.81,0.8,0
3dc34f7b14d70125,12.5,1,0.0,92.0,0.8,6
3e8535d6f9ee2320,69.08,7,-21.8,87.35,0.8,1
4093789373f04294,56.91,6,-9.7,65.94,0.8,1
40a8c5b8b579fa2a,55.77,7,-36.54,56.86,0.8,1
4225da6578de5e07,78.24,8,6.2,57.89,0.8,0
4410db940ccd81ab,57.08,5,-16.67,77.71,0.8,2
441a1ae7faa11e1f,55.51,5,-2.06,37.21,0.8,2
4460e4307636ead0,44.68,7,-41.07,80.8,0.8,1
44cde94d48618755,87.94,8,-15.12,30.15,0.8,0
458a78dedea92576,95.47,8,-9.06,20.54,0.8,0
47654ca5efe2bb65,68.91,6,-6.7,60.35,0.8,2
49a223d76a72768b,91.04,8,-15.42,56.76,0.8,0
49dc54275e10b7b6,64.7,8,-29.74,65.8,0.8,0
4ade4bf22f388fcf,90.28,8,0.7,71.44,0.8,0
4ca30d919cb53979,87.5,7,0.0,31.36,0.8,1
4d67d404059868e0,76.08,8,-3.48,45.55,0.8,0
4da9548efb98cda6,95.31,8,-9.38,52.32,0.8,0
4eb30e37e96fd0c3,47.98,5,-36.67,80.33,0.8,2
4ebbbdaa9f0063eb,25.0,2,0.0,98.0,0.8,5
4f4f227427df192e,71.43,8,-16.71,60.94,0.8,0
502c9e70eb73e41b,83.21,8,-10.43,46.85,0.8,0
50360aa68273b55f,57.07,6,-22.09,90.56,0.8,2
5045e741da064060,94.45,8,1.1,65.52,0.8,0
5071cd1a8d3c59c0,27.3,4,-64.99,73.32,0.8,3
50bb0394596e9d66,70.05,8,-22.54,54.66,0.8,0
5122c7b62309445b,71.21,7,19.43,65.9,0.8,1
514faa15a6a7ba1e,74.77,8,-14.38,81.28,0.8,0
51e6ac3a761aa696,56.6,8,-23.18,35.52,0.8,0
51fe1bc56da6fa45,100.0,8,0.0,2.88,0.8,0
5251f33e485e0c1e,62.75,8,-8.9,81.59,0.8,0
54de952cd7ab6a9a,81.28,8,-23.15,76.71,0.8,0
58585b15ef3e4b50,82.31,8,-11.09,41.94,0.8,0
585d6641ddf5c7b0,89.51,8,16.98,22.8,0.8,0
5cb32a082f93aa8c,57.01,6,-15.02,58.12,0.8,2
5cbca9d2121ee7ea,78.91,8,-16.41,49.04,0.8,0
5cced2b4f5fbcf18,100.0,8,0.0,30.7,0.8,0
5e2b2e1fd8d8727b,82.97,8,-12.27,53.07,0.8,0
629c8a0ee529bccd,91.29,8,-4.42,58.51,0.8,0
63580a3d7de5c922,100.0,8,0.0,24.29,0.8,0
6393ab358f6b93c6,18.88,3,5.0,32.2,0.8,3
63aa401df8fa1be7,78.82,8,-21.87,65.4,0.8,0
63ed1dd0fb5274cc,78.91,8,-13.35,79.45,0.8,0
63f767c6262e2bb3,73.21,7,-28.33,64.62,0.8,1
6604127cdf45d34d,63.25,8,-14.51,62.05,0.8,0
6623050a1401743d,94.26,8,-9.35,72.87,0.8,0
66c6bc784863c96c,29.36,6,-7.4,90.16,0.8,2
68e38dd6656347d4,85.41,8,-4.9,74.29,0.8,0
69a9354fdaa74348,22.62,3,-85.71,92.67,0.8,5
6a6fe1247e65502d,100.0,8,0.0,13.19,0.8,0
6a7ce2173c7cfa7c,75.74,8,-24.23,78.54,0.8,0
6af01b4437c27f07,71.28,8,-27.32,69.31,0.8,0
6c11b966b4452fdf,100.0,8,0.0,17.37,0.8,0
6c24c4ac3518c50b,65.98,8,-1.59,75.41,0.8,0
6df6441e9268e3f5,98.31,8,-3.38,42.88,0.8,0
6e993f22bcfa4357,34.32,6,-40.86,86.09,0.8,1
6ea11cf706affc63,95.56,8,-8.88,42.15,0.8,0
6fc796b5381f3f2a,72.33,8,-31.06,58.95,0.8,0
70034ade57f42ce5,79.11,7,-12.81,65.33,0.8,1
71ffd73b9a388889,71.31,8,-12.79,75.52,0.8,0
720d2dbc3b68959f,100.0,8,0.0,18.05,0.8,0
743bcbf815851704,78.59,8,-5.39,49.4,0.8,0
7496ea52c546aaba,76.29,8,-44.42,75.61,0.8,0
76ea16313027ddb1,92.16,8,-4.24,38.86,0.8,0
7927811695a5acb8,91.09,8,-4.68,44.27,0.8,0
7c650a11f1613ece,62.39,8,-34.85,76.36,0.8,0
7ea4926ba897131b,100.0,8,0.0,26.53,0.8,0
7f4ea6d0f6ddd765,46.4,6,-36.52,86.69,0.8,2
8030b881042f47e4,92.59,8,-14.81,11.26,0.8,0
80e4f5f7ab45ddb4,96.4,8,-7.21,70.23,0.8,0
813969ec5e3699bc,97.82,8,4.36,39.84,0.8,0
824b281e54692092,86.35,8,-3.52,74.05,0.8,0
83453bb3ad311445,81.45,8,8.75,74.94,0.8,0
83fa4b53f222042b,86.29,8,-19.42,47.58,0.8,0
859d9322e00a2a99,76.31,8,-18.32,49.65,0.8,0
8661563ecfe0171e,53.14,7,-15.81,60.91,0.8,1
86ff0d04109c1aed,87.49,8,-16.54,27.38,0.8,0
8818ca423e95af32,90.51,8,-4.22,33.03,0.8,0
89012b465cb5e401,81.77,8,-17.25,67.41,0.8,0
8a95cb59aa57a504,68.93,8,-10.11,79.62,0.8,0
8bc6a84d741ed4d1,90.59,8,-4.68,32.27,0.8,0
8c04d5eee087436b,60.56,6,-26.48,80.77,0.8,1
8ccd8af2ce15e414,0.0,0,0.0,100.0,0.8,8
8fe2b805b37c2e36,49.12,7,-52.71,71.72,0.8,1
901d501e5e3fc4fb,53.12,7,-26.33,90.96,0.8,1
90402370f27462da,51.29,5,-35.2,69.42,0.8,3
9053681666d81bc7,26.43,3,-88.57,72.21,0.8,5
91c02818c8b3ed84,54.36,6,-35.99,91.6,0.8,2
922ed0a8d1695836,99.6,8,-0.8,52.87,0.8,0
9264dc756e04aaea,93.24,8,-7.81,58.59,0.8,0
92bb05bbd8f45d77,90.42,8,-9.76,71.72,0.8,0
9313dc6cbfb3a7bd,100.0,8,0.0,24.01,0.8,0
937b29be9e061839,69.27,8,-22.56,70.44,0.8,0
9423383276d16969,78.3,8,-22.41,70.81,0.8,0
947c9e15e8592c95,68.7,8,-21.67,37.05,0.8,0
967065e19d1869f4,16.25,2,-30.0,96.92,0.8,6
97a454b0a65223e1,59.73,8,-28.09,78.73,0.8,0
98bdc9179cae4c91,32.34,4,-20.66,97.41,0.8,4
99af1df4fef36822,96.13,8,-0.6,44.93,0.8,0
9a2f08686079a542,67.98,7,-20.83,86.73,0.8,1
9a393aedd6599712,93.4,8,-13.21,29.63,0.8,0
9a50acd7bbefa0e2,59.09,6,-15.21,62.8,0.8,1
9aa1f26acdc8e24e,80.57,7,0.69,46.22,0.8,1
9c73860d96d0b71e,63.5,7,-30.4,73.98,0.8,1
9e446a42ce23cad5,86.88,8,-10.67,80.3,0.8,0
9f3f05c8ebaa74dd,43.93,4,-24.29,85.73,0.8,4
a08853b1a7f7a812,91.67,8,-16.67,72.7,0.8,0
